GO:0000025	maltose catabolic process	2	HORVU2Hr1G028940,HORVU2Hr1G021700
GO:0000027	ribosomal large subunit assembly	21	HORVU7Hr1G073660,HORVU4Hr1G046720,HORVU6Hr1G049370,HORVU1Hr1G039030,HORVU5Hr1G007910,HORVU7Hr1G018900,HORVU5Hr1G061870,HORVU1Hr1G081790,HORVU1Hr1G024710,HORVU3Hr1G080130,HORVU4Hr1G084410,HORVU2Hr1G086390,HORVU5Hr1G036630,HORVU2Hr1G102610,HORVU6Hr1G052560,HORVU5Hr1G044540,HORVU4Hr1G084830,HORVU1Hr1G038180,HORVU5Hr1G047980,HORVU2Hr1G073320,HORVU7Hr1G020160
GO:0000028	ribosomal small subunit assembly	19	HORVU5Hr1G109910,HORVU3Hr1G109340,HORVU1Hr1G086380,HORVU4Hr1G074270,HORVU2Hr1G086610,HORVU3Hr1G015190,HORVU4Hr1G077240,HORVU3Hr1G115820,HORVU4Hr1G001220,HORVU7Hr1G066360,HORVU2Hr1G030880,HORVU7Hr1G047470,HORVU4Hr1G050400,HORVU4Hr1G051450,HORVU6Hr1G037240,HORVU0Hr1G004700,HORVU7Hr1G107890,HORVU3Hr1G039540,HORVU2Hr1G010870
GO:0000032	cell wall mannoprotein biosynthetic process	3	HORVU7Hr1G021720,HORVU7Hr1G033390,HORVU3Hr1G085830
GO:0000038	very long-chain fatty acid metabolic process	67	HORVU6Hr1G073300,HORVU2Hr1G017120,HORVU5Hr1G080180,HORVU7Hr1G084610,HORVU2Hr1G114920,HORVU3Hr1G096690,HORVU6Hr1G014450,HORVU7Hr1G112710,HORVU5Hr1G056870,HORVU7Hr1G088280,HORVU7Hr1G076290,HORVU5Hr1G100890,HORVU2Hr1G094330,HORVU3Hr1G088120,HORVU3Hr1G071400,HORVU7Hr1G118940,HORVU7Hr1G041690,HORVU3Hr1G069880,HORVU7Hr1G083530,HORVU1Hr1G057570,HORVU1Hr1G064020,HORVU6Hr1G073530,HORVU1Hr1G039830,HORVU2Hr1G020430,HORVU6Hr1G064580,HORVU6Hr1G064610,HORVU6Hr1G058000,HORVU7Hr1G049220,HORVU5Hr1G049650,HORVU6Hr1G089980,HORVU2Hr1G087830,HORVU5Hr1G110050,HORVU6Hr1G053680,HORVU1Hr1G038330,HORVU1Hr1G038730,HORVU7Hr1G072200,HORVU7Hr1G000470,HORVU5Hr1G025960,HORVU2Hr1G114340,HORVU7Hr1G064050,HORVU4Hr1G063420,HORVU1Hr1G086360,HORVU4Hr1G041610,HORVU1Hr1G090730,HORVU7Hr1G021580,HORVU1Hr1G089710,HORVU4Hr1G067340,HORVU1Hr1G064460,HORVU4Hr1G001420,HORVU1Hr1G040420,HORVU0Hr1G038430,HORVU5Hr1G031520,HORVU1Hr1G089830,HORVU0Hr1G016430,HORVU4Hr1G053190,HORVU4Hr1G051700,HORVU1Hr1G070790,HORVU3Hr1G079800,HORVU1Hr1G036440,HORVU4Hr1G076940,HORVU2Hr1G091460,HORVU7Hr1G038400,HORVU7Hr1G119060,HORVU6Hr1G091130,HORVU1Hr1G086360,HORVU5Hr1G125000,HORVU2Hr1G073760
GO:0000041	transition metal ion transport	50	HORVU7Hr1G034680,HORVU6Hr1G064470,HORVU7Hr1G090890,HORVU1Hr1G021620,HORVU6Hr1G070090,HORVU5Hr1G022060,HORVU5Hr1G011680,HORVU5Hr1G074450,HORVU3Hr1G004420,HORVU3Hr1G036180,HORVU0Hr1G039790,HORVU7Hr1G051650,HORVU7Hr1G017700,HORVU6Hr1G092790,HORVU6Hr1G009000,HORVU1Hr1G008650,HORVU3Hr1G099570,HORVU5Hr1G071860,HORVU4Hr1G000870,HORVU1Hr1G095220,HORVU3Hr1G114920,HORVU2Hr1G099000,HORVU1Hr1G019660,HORVU6Hr1G037640,HORVU3Hr1G113440,HORVU2Hr1G068960,HORVU4Hr1G025770,HORVU3Hr1G036180,HORVU4Hr1G060280,HORVU4Hr1G046610,HORVU2Hr1G070140,HORVU2Hr1G114530,HORVU7Hr1G098470,HORVU3Hr1G078210,HORVU2Hr1G101140,HORVU2Hr1G107060,HORVU5Hr1G112560,HORVU6Hr1G091740,HORVU3Hr1G113530,HORVU3Hr1G058570,HORVU1Hr1G072500,HORVU3Hr1G099300,HORVU2Hr1G068960,HORVU0Hr1G039790,HORVU7Hr1G070490,HORVU7Hr1G044280,HORVU7Hr1G071830,HORVU5Hr1G051020,HORVU3Hr1G097770,HORVU4Hr1G014970
GO:0000042	protein targeting to Golgi	1	HORVU2Hr1G059170
GO:0000045	autophagosome assembly	18	HORVU3Hr1G039120,HORVU5Hr1G087810,HORVU6Hr1G034660,HORVU3Hr1G039120,HORVU1Hr1G084220,HORVU2Hr1G122850,HORVU5Hr1G094540,HORVU3Hr1G062970,HORVU7Hr1G093440,HORVU2Hr1G049500,HORVU5Hr1G013230,HORVU6Hr1G029550,HORVU2Hr1G103010,HORVU5Hr1G067090,HORVU1Hr1G076180,HORVU4Hr1G012850,HORVU1Hr1G056110,HORVU6Hr1G081180
GO:0000050	urea cycle	7	HORVU1Hr1G062900,HORVU1Hr1G050130,HORVU5Hr1G048890,HORVU6Hr1G068750,HORVU2Hr1G064550,HORVU5Hr1G048890,HORVU2Hr1G005320
GO:0000053	argininosuccinate metabolic process	1	HORVU1Hr1G062900
